Company,Region,Contents,Parent Company,Timeline,Rights,League,30 sec Ad USD,Contract Value,Production,Production Location,Production Company
CBS,USA,"AFC Sunday Games, USA",Paramount Global,2023-2033,Broadcast,NFL,"$659,000",~$2.1 billion per year,In House,"New York, Ny; On-Site Stadiums",CBS Sports
FOX,USA,"NFC Sunday Games, USA",FOX Corporation,2023-2034,Broadcast,NFL,"$689,000",~$2.25 billion per year,In House,"Los Angeles, Ca; On-Site Stadiums",FOX Sports
NBC,USA,"Sunday Night Football, USA",NBCUniversal,2023-2035,Broadcast,NFL,"$882,000",~$2.0 billion per year,In House,"Stamford, Ct; On-Site Stadiums",NBC Sports
ESPN / ABC,USA,"Monday Night Football, Select Games, USA",Disney,2023-2036,Broadcast,NFL,"$637,000",~$2.7 billion per year,In House,"Bristol, Ct; On-Site Stadiums",ESPN
NFL Network,USA,"Limited Games (E.G., London, Saturday)",NFL,2023-2037,Broadcast,NFL,"~$250,000$450,000",,In House,"Inglewood, Ca; Mount Laurel, Nj",NFL Media / NFL Films
Amazon Prime Video,Global,"Thursday Night Football, Global",Amazon,2023-2038,Streaming,NFL,"~$563,000 (2024 estimate)",>$1 billion per year (reported ~$1.1B),Hybrid,"On-Site Stadiums; Stamford, Ct",Amazon Studios + NBC Sports
Paramount+,USA,Cbs Games (Digital),Paramount Global,2023-2039,Streaming,NFL,"$30,000$80,000",No separate fee (included in CBS deal),In House,"New York, Ny; Mount Laurel, Nj",CBS Sports + NFL Films
Peacock,USA,Nbc Games (Digital + Exclusive Streams),NBCUniversal,2023-2040,Streaming,NFL,"~$563,000 (2024 estimate)",No separate fee,In House,"Stamford, Ct",NBC Sports
ESPN+,USA,Espn Games + International Series,Disney,2023-2041,Streaming,NFL,"$20,000$150,000",No separate fee (included in ESPN deal),In House,"Bristol, Ct",ESPN
Tubi,USA,Fox Games (Ad-Supported Digital),FOX Corporation,2023-2042,Streaming,NFL,CPM pricing $20,No separate fee (included in FOX deal),Outsourced,"Mount Laurel, Nj",NFL Films (Licensed)
Youtube Tv,USA,Nfl Sunday Ticket (Out-Of-Market Games),Alphabet (Google),2023-2043,Streaming,NFL,CPM pricing $57,~$2 billion per year,Outsourced,Various U.S. Locations,"CBS, FOX, NBC, ESPN (Feeds)"
NFL+,USA,In-Market Mobile & National Games,NFL,2023-2044,Streaming,NFL,depending on game cpm 20-60,,In House,"Inglewood, Ca; Mount Laurel, Nj",NFL Media / NFL Films
Netflix,USA,Select Games,"Netflic, Inc",2024-2026,Streaming,NFL,CPM pricing 25-30,~$150 million per year,Outsourced,"Mount Laurel, Nj; Los Angeles, Ca",NFL Films + Netflix Studios
NFL Network / NFL+,Usa/Global,"Reruns, Archived Games",NFL,2023-2033,Syndication,NFL,CPM pricing 30-60,,In House,"Inglewood, Ca; Mount Laurel, Nj",NFL Media / NFL Films
Canal 5,Mexico,Spanish-Language Nfl Games,TelevisaUnivision,2023-2033,International,NFL,CPM pricing 5-15,,Outsourced,Mexico City,"CBS, FOX, NBC (Simulcast Feeds)"
DAZN,Canada,Nfl Game Pass International; Full Streaming Coverage (Excl. Us/China),DAZN Group,2023-2033,International,NFL,CPM pricing 10-60,~$100 million per year (est.),Outsourced,Various U.S. Locations,"CBS, FOX, NBC, ESPN (Licensed Feeds)"
DAZN,Germany,Nfl Game Pass International; Full Streaming Coverage (Excl. Us/China),DAZN Group,2023-2033,International,NFL,CPM pricing 10-60,~$100 million per year (est.),Outsourced,Various U.S. Locations,"CBS, FOX, NBC, ESPN (Licensed Feeds)"
DAZN,Latin America,Nfl Game Pass International; Full Streaming Coverage (Excl. Us/China),DAZN Group,2023-2033,International,NFL,CPM pricing 10-60,~$100 million per year (est.),Outsourced,Various U.S. Locations,"CBS, FOX, NBC, ESPN (Licensed Feeds)"
ESPN,Australia,English- And Spanish-Language Rights; Regional Playoff & Super Bowl Coverage,Disney,2023-2033,International,NFL,CPM pricing 10-20,,In House,"Bristol, Ct",ESPN
ESPN,Brazil,English- And Spanish-Language Rights; Regional Playoff & Super Bowl Coverage,Disney,2023-2033,International,NFL,CPM pricing 10-20,,In House,"Bristol, Ct",ESPN
ESPN,Mexico,English- And Spanish-Language Rights; Regional Playoff & Super Bowl Coverage,Disney,2023-2033,International,NFL,CPM pricing 10-20,,In House,"Bristol, Ct",ESPN
ESPN,India,English- And Spanish-Language Rights; Regional Playoff & Super Bowl Coverage,Disney,2023-2033,International,NFL,CPM pricing 10-20,,In House,"Bristol, Ct",ESPN
FOX Sports,Mexico,Spanish-Language Nfl Games,FOX Corporation,2023-2033,International,NFL,CPM pricing 10-20,,In House,"Los Angeles, Ca; On-Site Stadiums",FOX Sports
Movistar Deportes,Spain,"Premium Games, Playoffs, And Super Bowl",Telefónica,2023-2033,International,NFL,CPM pricing 11-26,,Outsourced,Spain; Uses International Feed,ESPN International
Nippon Tv,Japan,"Regular Season + Postseason, Super Bowl",Nippon Television,2023-2033,International,NFL,"$5,700$37,400",,Outsourced,"Tokyo, Japan; Uses Licensed Content",Nippon Tv (With NFL International Feed)
Redetv!,Brazil,Free-To-Air Portuguese-Language Rights,Grupo Record,2023-2033,International,NFL,CPM pricing 4-10,,Outsourced,"São Paulo, Brazil",NFL Network International
